"id-système (xml:c/@id) ";"cote (xml:unitid) ";"unittitle ";"unitdate ";" date-normalisee ";"extent ";"dimensions ";"première image";"dernière image";"Lien première image";"Lien dernière image"
"c-baqpnmxr8--14jqy84es5oe8 ";"AG//SPH/44 ";"Reportage n° 1804 / Voyage en France de Moktar Ould Daddah, président de Mauritanie. ";"10 septembre 1965 ";" 1965-09-10 ";"7 négatifs ";"6 x 6 cm ";"FRAN_0158_4502_L.jpg";"FRAN_0158_4508_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4502_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4508_L.jpg "
"c-bb6cgu72s--15oqfshhh653m ";"AG//SPH/44 ";"Reportage n° 1805 / Voyage en France de Józef Cyrankiewicz, président du Conseil des ministres de Pologne. ";"9-16 septembre 1965 ";" 0009-01-01/1965-09-16 ";"12 négatifs ";"6 x 6 cm ";"FRAN_0158_4485_L.jpg";"FRAN_0158_4501_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4485_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4501_L.jpg "
"c-bbrkiqlys--2eer2yndno59 ";"AG//SPH/44 ";"Reportage n° 1806 / Voyage en France d’Ahmadou Ahidjo, président du Cameroun. ";"14 septembre 1965 ";" 1965-09-14 ";"3 négatifs ";"6 x 6 cm ";"FRAN_0158_4509_L.jpg";"FRAN_0158_4511_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4509_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4511_L.jpg "
"c-bca5qas87--1885ioyadbv3b ";"AG//SPH/44 ";"Reportage n° 1807 / Remise du prix Liotard, grand prix de l’exploration, à Michel Brunet et Pierre Vidal, paléoanthropologues, pour une mission dans la région de Bouar, République centrafricaine. ";"14 septembre 1965 ";" 1965-09-14 ";"3 négatifs ";"6 x 6 cm ";"FRAN_0158_4512_L.jpg";"FRAN_0158_4514_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4512_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4514_L.jpg "
"c-bcqx6t4pj-vu7d19zq2hl6 ";"AG//SPH/44 ";"Reportage n° 1808 / Remise des lettres de créance par Soo Young Lee, ambassadeur de Corée en France, par Henrich Sv. Björnsson, ambassadeur d’Islande en France, et par G. Sidi-Touré, ambassadeur du Togo en France. ";"18 septembre 1965 ";" 1965-09-18 ";"8 négatifs ";"6 x 6 cm ";"FRAN_0158_4515_L.jpg";"FRAN_0158_4522_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4515_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4522_L.jpg "
"c-bd6qj00dx-zcbyug6ysnsq ";"AG//SPH/44 ";"Reportage n° 1809 / Voyage en France de Sourou Apithy, président du Dahomey. ";"21 septembre 1965 ";" 1965-09-21 ";"4 négatifs ";"6 x 6 cm ";"FRAN_0158_4528_L.jpg";"FRAN_0158_4531_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4528_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4531_L.jpg "
"c-bdntuf5hw--19jraeg1e0zcp ";"AG//SPH/44 ";"Reportage n° 1810 / Voyage en France de Hussein, roi de Jordanie. ";"22 septembre 1965 ";" 1965-09-22 ";"6 négatifs ";"6 x 6 cm ";"FRAN_0158_4532_L.jpg ";" ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4532_L.jpg ";
"c-beko5apbf-9jx4ge9253sk ";"AG//SPH/44 ";"Reportage n° 1811 / Remise de décoration à Robert Vernejoul, professeur de médecine. ";"20 septembre 1965 ";" 1965-09-20 ";"7 négatifs ";"6 x 6 cm ";"FRAN_0158_4533_L.jpg";"FRAN_0158_4539_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4533_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4539_L.jpg "
"c-bf0todjw6-x3o2z2utrlkb ";"AG//SPH/44 ";"Reportage n° 1812 / Réception des présidents des principales associations d'anciens combattants et victimes de guerre. ";"30 septembre 1965 ";" 1965-09-30 ";"5 négatifs ";"6 x 6 cm ";"FRAN_0158_4523_L.jpg";"FRAN_0158_4527_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4523_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4527_L.jpg "
"c-bfh6zyeae--1awgkm0q9v39r ";"AG//SPH/44 ";"Reportage n° 1813 / Inauguration de l’exposition « Les meilleurs ouvriers de France », porte de Versailles, Paris. ";"2 octobre 1965 ";" 1965-10-02 ";"6 négatifs ";"6 x 6 cm ";"FRAN_0158_4572_L.jpg";"FRAN_0158_4577_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4572_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4577_L.jpg "
"c-bfwdupy9i--154b34s7injgb ";"AG//SPH/44 ";"Reportage n° 1814 / Chasse en forêt de Marly-le-Roi. ";"7 octobre 1965 ";" 1965-10-07 ";"24 négatifs ";"6 x 6 cm ";"FRAN_0158_4543_L.jpg";"FRAN_0158_4566_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4543_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4566_L.jpg "
"c-bgiam7v8n-wxdpqqcnjy6o ";"AG/5(1)/1055, AG//SPH/44 ";"Reportage n° 1815 / Remise des lettres de créance par Edgardo Alonzo Medina, ambassadeur du Honduras en France, par Massoud Djahanbani, ambassadeur d’Iran en France, et par Sayed Abdullahi El Hassan, ambassadeur du Soudan en France. ";"9 octobre 1965 ";" 1965-10-09 ";"1 positif et 4 négatifs ";"6 x 6 cm ";"FRAN_0158_4567_L.jpg";"FRAN_0158_4571_L.jpg ";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4567_L.jpg";"..\De Gaulle - reportages photographiques (1959-1969) - Archives numérisées\FRAN_0158_4571_L.jpg "
